time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-08T13:03:29.590Z,39.5335007,-123.2334976,3.71,2.75,md,34,35,0.1031,0.14,nc,nc73267450,2019-09-08T17:03:18.613Z,"16km NE of Brooktrails, CA",earthquake,0.25,0.84,0.16,30,automatic,nc,nc
2019-09-08T08:06:58.860Z,35.8748333,-117.6923333,2.32,2.52,ml,35,47,0.08047,0.2,ci,ci38818591,2019-09-08T08:24:04.828Z,"20km ESE of Little Lake, CA",earthquake,0.22,0.37,0.157,25,automatic,ci,ci
2019-09-08T07:41:45.760Z,35.8741667,-117.6945,2.39,2.85,ml,35,47,0.08183,0.2,ci,ci38818519,2019-09-08T08:16:11.877Z,"20km ESE of Little Lake, CA",earthquake,0.23,0.39,0.195,25,automatic,ci,ci
2019-09-08T07:33:07.659Z,36.8895,-104.8676,5,3.1,ml,,74,0.087,0.29,us,us70005dd7,2019-09-08T22:27:10.510Z,"38km W of Raton, New Mexico",earthquake,1.3,1.9,0.074,44,reviewed,us,us
2019-09-08T02:05:02.200Z,36.1128333,-117.8513333,3.77,3.48,ml,44,51,0.005531,0.14,ci,ci38818071,2019-09-09T14:54:21.646Z,"12km NE of Coso Junction, CA",earthquake,0.14,0.27,0.186,82,reviewed,ci,ci
2019-09-08T01:02:46.070Z,35.6966667,-117.5281667,7.04,2.52,ml,39,47,0.08159,0.2,ci,ci38817999,2019-09-08T18:06:01.827Z,"14km SW of Searles Valley, CA",earthquake,0.25,0.63,0.14,25,automatic,ci,ci
2019-09-07T20:40:05.860Z,36.5351677,-121.1204987,3.18,2.59,md,35,94,0.06372,0.11,nc,nc73267055,2019-09-08T00:30:02.306Z,"2km E of Pinnacles, CA",earthquake,0.23,1.16,0.14,37,automatic,nc,nc
2019-09-07T20:37:19.600Z,35.6586685,-117.5353317,7.62,2.95,ml,52,60,0.09346,0.15,ci,ci38817607,2019-09-09T13:12:40.824Z,"13km ENE of Ridgecrest, CA",earthquake,0.17,0.8,0.267,21,reviewed,ci,ci
2019-09-07T18:51:46.040Z,37.8116667,-113.2001667,8.3,2.5,ml,19,47,0.1917,0.15,uu,uu60339437,2019-09-09T20:06:42.740Z,"16km WNW of Enoch, Utah",earthquake,0.29,0.95,0.156,3,reviewed,uu,uu
2019-09-07T11:40:33.948Z,42.397,-105.8067,10,3,ml,,80,0.587,0.33,us,us70005d6k,2019-09-07T12:39:42.040Z,"51km S of Glenrock, Wyoming",earthquake,4.5,2,0.051,51,reviewed,us,us
2019-09-06T18:49:56.250Z,40.3731651,-124.269165,24.35,2.95,md,21,120,0.05243,0.17,nc,nc73266390,2019-09-06T23:24:56.316Z,"6km NNE of Petrolia, CA",earthquake,1.15,1.22,0.14,22,automatic,nc,nc
2019-09-06T16:10:48.203Z,31.3391,-103.0897,5,2.9,mb_lg,,45,0.127,0.69,us,us70005cut,2019-09-06T16:38:21.040Z,"33km SSW of Monahans, Texas",earthquake,0.9,1.6,0.088,34,reviewed,us,us
2019-09-06T15:55:09.944Z,31.3294,-103.0896,5,3.1,mb_lg,,45,0.117,0.71,us,us70005cul,2019-09-06T16:40:10.040Z,"34km SSW of Monahans, Texas",earthquake,1.2,1.7,0.068,57,reviewed,us,us
2019-09-06T14:06:15.510Z,35.6761667,-117.5148333,10.05,2.75,ml,40,38,0.06979,0.15,ci,ci38814519,2019-09-06T14:17:15.390Z,"14km SW of Searles Valley, CA",earthquake,0.21,0.41,0.199,26,automatic,ci,ci
2019-09-06T10:25:09.420Z,37.6181679,-118.8588333,7.57,2.73,md,23,88,0.003373,0.05,nc,nc73266175,2019-09-06T13:56:12.407Z,"11km E of Mammoth Lakes, CA",earthquake,0.49,0.8,0.19,28,automatic,nc,nc
2019-09-06T06:49:34.940Z,35.9193333,-117.6866667,2.06,2.72,ml,34,44,0.04099,0.18,ci,ci38813871,2019-09-06T07:00:49.400Z,"20km E of Little Lake, CA",earthquake,0.21,0.36,0.145,24,automatic,ci,ci
2019-09-04T23:17:05.110Z,37.333168,-119.9798355,14.08,2.78,md,19,65,0.1798,0.19,nc,nc73265410,2019-09-05T18:09:59.057Z,"16km SSW of Bootjack, CA",earthquake,0.47,0.89,0.18,22,automatic,nc,nc
2019-09-04T12:37:13.000Z,35.669,-117.5136667,4.65,2.56,ml,40,38,0.06507,0.14,ci,ci39041872,2019-09-04T13:39:35.295Z,"15km SW of Searles Valley, CA",earthquake,0.18,0.43,0.137,25,automatic,ci,ci
2019-09-04T00:18:46.170Z,34.0056667,-116.7643333,13.3,3.41,ml,121,18,0.04655,0.16,ci,ci39040408,2019-09-08T04:03:30.040Z,"10km NNE of Cabazon, CA",earthquake,0.09,0.23,0.153,201,reviewed,ci,ci
2019-09-03T15:05:01.750Z,39.1328333,-123.58,5.46,3.24,ml,55,99,0.08022,0.15,nc,nc73264475,2019-09-09T05:23:28.930Z,"18km ESE of Navarro Head, CA",earthquake,0.22,0.71,0.158,31,reviewed,nc,nc
2019-09-03T12:41:59.250Z,35.6458333,-117.4961667,4.52,2.64,ml,38,37,0.0462,0.18,ci,ci39038800,2019-09-03T15:05:42.231Z,"16km SSW of Searles Valley, CA",earthquake,0.22,0.55,0.132,25,automatic,ci,ci
2019-09-03T08:23:33.250Z,36.199,-117.885,2.54,2.59,ml,34,61,0.08483,0.21,ci,ci39038160,2019-09-03T08:34:40.240Z,"14km SE of Olancha, CA",earthquake,0.32,1.83,0.177,24,automatic,ci,ci
2019-09-03T03:41:29.170Z,35.703,-117.5886667,7.1,3.47,mw,48,40,0.08234,0.13,ci,ci39037688,2019-09-07T10:51:03.356Z,"12km NE of Ridgecrest, CA",earthquake,0.11,0.31,,6,reviewed,ci,ci
2019-09-03T03:28:37.320Z,35.631,-117.4343333,2.97,2.67,ml,38,56,0.03513,0.14,ci,ci39037640,2019-09-03T11:31:11.930Z,"15km S of Searles Valley, CA",earthquake,0.18,0.29,0.208,25,automatic,ci,ci
2019-09-03T02:32:14.860Z,35.6718333,-117.5233333,10.14,3.22,ml,72,34,0.06212,0.15,ci,ci39037488,2019-09-07T10:46:56.591Z,"15km ENE of Ridgecrest, CA",earthquake,0.1,0.22,0.166,291,reviewed,ci,ci
2019-09-03T02:29:20.280Z,35.6691667,-117.5243333,10.02,2.79,ml,40,37,0.05951,0.15,ci,ci39037480,2019-09-03T02:40:23.250Z,"15km ENE of Ridgecrest, CA",earthquake,0.19,0.38,0.134,25,automatic,ci,ci
2019-09-03T02:23:09.470Z,35.5163333,-117.4146667,8.17,3.18,ml,83,16,0.04179,0.17,ci,ci39037448,2019-09-05T20:25:17.690Z,"26km NE of Johannesburg, CA",earthquake,0.12,0.31,0.133,294,reviewed,ci,ci
2019-09-03T00:30:33.050Z,34.4531667,-118.4865,17.6,2.71,ml,103,15,0.05275,0.22,ci,ci39037232,2019-09-09T11:10:11.704Z,"4km NNE of Santa Clarita, CA",earthquake,0.14,0.35,0.167,157,reviewed,ci,ci
2019-09-02T22:08:39.000Z,36.92833333,-97.4745,7.65,3.24,ml,57,93,0,0.23,ok,ok2019rfmp,2019-09-03T19:18:32.815Z,"16km SE of Caldwell, Kansas",earthquake,,0.7,0.19,25,reviewed,ok,ok
2019-09-02T17:34:12.390Z,41.376,-122.139,5.58,2.72,md,20,74,0.05287,0.17,nc,nc73263850,2019-09-06T06:42:56.394Z,"13km N of McCloud, CA",earthquake,0.35,0.95,0.255,18,reviewed,nc,nc
2019-09-02T08:03:26.350Z,35.6633333,-117.5258333,6.3,2.56,ml,37,36,0.05422,0.16,ci,ci39035224,2019-09-03T00:29:31.381Z,"14km ENE of Ridgecrest, CA",earthquake,0.21,0.6,0.16,24,automatic,ci,ci
2019-09-02T04:55:14.310Z,33.6525,-117.3305,3.2,2.77,ml,103,28,0.07977,0.22,ci,ci39034816,2019-09-02T17:36:38.486Z,"2km S of Lake Elsinore, CA",earthquake,0.19,0.53,0.179,25,automatic,ci,ci
2019-09-02T04:05:04.610Z,33.649,-117.3335,5.73,3.19,ml,139,29,0.07719,0.24,ci,ci39034704,2019-09-08T18:08:14.059Z,"2km NE of Lakeland Village, CA",earthquake,0.13,0.64,0.157,194,reviewed,ci,ci
2019-09-02T03:59:21.630Z,37.187,-112.892,17.65,2.95,ml,23,44,0.1791,0.2,uu,uu60338487,2019-09-04T23:22:31.468Z,"21km NNE of Hildale, Utah",earthquake,0.4,0.81,0.158,11,reviewed,uu,uu
2019-09-01T23:35:06.760Z,35.6553333,-117.463,1.9,2.83,ml,36,42,0.03347,0.16,ci,ci39034088,2019-09-01T23:45:41.130Z,"14km SSW of Searles Valley, CA",earthquake,0.19,0.33,0.188,25,automatic,ci,ci
2019-09-01T22:30:05.020Z,35.1618333,-118.2056667,5.05,2.5,ml,61,24,0.1553,0.15,ci,ci39033976,2019-09-03T19:08:04.240Z,"12km NNW of Mojave, CA",earthquake,0.12,0.96,0.226,183,reviewed,ci,ci
2019-09-01T22:07:54.970Z,31.6795,-115.9128333,10.98,3.11,ml,12,128,0.3076,0.15,ci,ci39033896,2019-09-03T17:38:52.354Z,"62km E of Maneadero, B.C., MX",earthquake,0.37,0.83,0.162,53,reviewed,ci,ci
2019-09-01T18:16:52.053Z,44.4328,-114.1792,5,2.6,ml,,111,0.886,0.68,us,us70005b0b,2019-09-06T05:57:11.760Z,"9km SSE of Challis, Idaho",earthquake,1.5,1.9,0.052,49,reviewed,us,us
2019-09-01T18:12:01.030Z,31.5678333,-115.7071667,6.09,2.57,ml,13,125,0.1877,0.12,ci,ci39033336,2019-09-03T22:16:56.278Z,"83km ESE of Maneadero, B.C., MX",earthquake,0.61,1.69,0.157,17,reviewed,ci,ci
2019-09-01T16:41:06.875Z,36.8751,-104.8419,5,2.8,ml,,72,0.075,0.68,us,us70005az3,2019-09-01T19:28:47.040Z,"36km W of Raton, New Mexico",earthquake,1.8,1.9,0.045,66,reviewed,us,us
2019-09-01T14:08:11.810Z,40.2671667,-121.4408333,3.62,2.61,md,13,183,0.13,0.1,nc,nc73263280,2019-09-04T23:30:03.595Z,"15km SE of Mineral, CA",earthquake,0.7,2.3,0.094,20,reviewed,nc,nc
2019-09-01T13:32:06.325Z,36.8638,-104.7906,5,2.8,ml,,94,0.085,0.62,us,us70005awd,2019-09-01T19:23:41.040Z,"31km W of Raton, New Mexico",earthquake,1.9,1.8,0.045,66,reviewed,us,us
2019-09-01T13:21:06.651Z,38.034,-97.9805,3.13,3.1,mb_lg,,131,0.032,0.3,us,us70005aw8,2019-09-05T21:29:12.206Z,"3km W of South Hutchinson, Kansas",earthquake,1.8,3,0.044,134,reviewed,us,us
2019-09-01T12:54:37.148Z,36.885,-104.8027,3.97,2.7,mb_lg,,106,0.096,0.29,us,us70005aw4,2019-09-04T08:41:59.040Z,"32km W of Raton, New Mexico",earthquake,1,2.9,0.074,82,reviewed,us,us
2019-09-01T11:29:43.714Z,37.2923,-104.9389,5,3.7,ml,,61,0.21,1.1,us,us70005avg,2019-09-03T12:00:29.848Z,"39km SSW of Walsenburg, Colorado",earthquake,1.6,2,0.041,128,reviewed,us,us
2019-08-31T16:49:51.570Z,37.581665,-118.7368317,10.27,2.68,ml,28,92,0.07378,0.05,nc,nc73262755,2019-08-31T23:42:04.932Z,"6km WNW of Toms Place, CA",earthquake,0.36,0.76,0.208,13,automatic,nc,nc
2019-08-31T13:47:52.928Z,47.4897,-70.1173,14.41,2.7,mb_lg,,72,0.153,0.31,us,us70005aru,2019-09-02T14:28:33.040Z,"16km NNW of La Pocatiere, Canada",earthquake,3.8,8.2,0.1,26,reviewed,us,us
2019-08-31T13:37:56.435Z,31.3283,-103.0883,5,2.7,ml,,46,0.28,0.41,us,us70005ala,2019-09-02T14:20:53.040Z,"34km SSW of Monahans, Texas",earthquake,1.5,0.9,0.128,18,reviewed,us,us
2019-08-31T13:09:57.938Z,31.3176,-103.0891,2.39,2.5,ml,,46,0.281,0.55,us,us70005al9,2019-09-02T14:10:13.040Z,"35km SSW of Monahans, Texas",earthquake,0.8,6.3,0.128,17,reviewed,us,us
2019-08-31T11:18:32.830Z,40.8614998,-123.104332,43.73,2.85,md,24,80,0.1473,0.15,nc,nc73262680,2019-08-31T18:27:00.294Z,"20km NW of Weaverville, CA",earthquake,0.72,0.93,0.1,10,automatic,nc,nc
2019-08-31T07:26:56.980Z,35.8291667,-117.6813333,7.89,2.72,ml,38,42,0.06943,0.19,ci,ci39028608,2019-08-31T13:18:00.411Z,"23km N of Ridgecrest, CA",earthquake,0.23,0.75,0.196,25,automatic,ci,ci
2019-08-31T04:01:47.560Z,40.3151665,-124.4291687,8.62,2.51,md,14,267,0.07139,0.08,nc,nc73262485,2019-08-31T06:44:03.400Z,"12km W of Petrolia, CA",earthquake,1.42,0.56,0.13,12,automatic,nc,nc
2019-08-31T03:56:21.860Z,36.104,-119.9846667,5.38,2.6,md,57,101,0.2546,0.12,nc,nc73262475,2019-09-04T04:21:05.167Z,"11km N of Kettleman City, CA",earthquake,0.33,1.59,0.197,53,reviewed,nc,nc
2019-08-31T00:57:42.260Z,33.6993333,-116.7376667,18.54,2.5,ml,114,23,0.02287,0.19,ci,ci39027592,2019-09-05T19:00:13.960Z,"5km SSW of Idyllwild, CA",earthquake,0.11,0.17,0.155,136,reviewed,ci,ci
2019-08-31T00:18:19.060Z,36.086,-117.8621667,1.8,2.58,ml,34,95,0.03207,0.17,ci,ci39027496,2019-08-31T00:28:59.140Z,"9km ENE of Coso Junction, CA",earthquake,0.25,0.33,0.193,25,automatic,ci,ci
2019-08-30T23:07:54.670Z,39.4804993,-122.9509964,14.05,2.54,md,30,51,0.198,0.16,nc,nc73262340,2019-08-31T03:47:03.327Z,"8km N of Lake Pillsbury, CA",earthquake,0.29,0.71,0.12,23,automatic,nc,nc
2019-08-30T19:54:43.370Z,36.2076667,-117.8565,2.98,2.52,ml,29,66,0.08991,0.18,ci,ci39026808,2019-08-30T20:05:44.800Z,"16km ESE of Olancha, CA",earthquake,0.27,0.98,0.098,25,automatic,ci,ci
2019-08-30T19:03:58.240Z,37.4693336,-118.845665,5.65,2.67,md,27,133,,0.05,nc,nc73262245,2019-08-31T02:07:18.715Z,"18km SW of Toms Place, CA",earthquake,0.27,1.68,0.26,28,automatic,nc,nc
2019-08-30T16:38:20.570Z,37.4666672,-118.8440018,5.23,2.64,md,24,134,0.1237,0.05,nc,nc73262190,2019-08-30T18:53:02.897Z,"18km SW of Toms Place, CA",earthquake,0.31,2.13,0.28,25,automatic,nc,nc
2019-08-30T14:52:41.390Z,37.3648338,-118.5251694,10.72,2.5,ml,21,201,0.03251,0.05,nc,nc73262120,2019-08-31T02:06:57.539Z,"6km W of West Bishop, CA",earthquake,0.86,1.22,0.137,12,automatic,nc,nc
2019-08-30T11:58:32.990Z,35.7095,-117.5501667,7.45,2.72,ml,40,57,0.08862,0.22,ci,ci39025416,2019-08-30T12:09:32.320Z,"15km WSW of Searles Valley, CA",earthquake,0.28,1.02,0.162,24,automatic,ci,ci
2019-08-30T11:31:09.289Z,35.44866667,-97.91183333,5,2.56,ml,14,137,0.2321544434,0.74,ok,ok2019qzfb,2019-08-30T22:28:07.363Z,"6km NNE of Union City, Oklahoma",earthquake,,4.5,0.13,7,reviewed,ok,ok
2019-08-30T08:55:41.140Z,35.6138333,-117.4046667,2.38,2.58,ml,36,85,0.05347,0.17,ci,ci39024928,2019-08-30T09:06:38.950Z,"17km S of Trona, CA",earthquake,0.25,0.4,0.173,25,automatic,ci,ci
2019-08-29T22:24:12.580Z,44.3297,-110.5333,2.04,2.7,ml,,130,0.06,1.02,us,us700059yb,2019-08-30T20:51:19.040Z,"27km ESE of Old Faithful Geyser, Wyoming",earthquake,0.9,3.2,0.173,9,reviewed,uu,uu
2019-08-29T21:33:01.630Z,44.3323,-110.5255,1.44,2.6,ml,,121,0.059,0.49,us,us700059xk,2019-09-01T01:34:15.824Z,"28km ESE of Old Faithful Geyser, Wyoming",earthquake,1.3,1.3,0.203,5,reviewed,uu,uu
2019-08-29T17:17:48.550Z,34.018,-117.1193333,8.96,2.98,ml,136,14,0.01835,0.18,ci,ci39022568,2019-09-04T14:50:21.040Z,"6km SSE of Mentone, CA",earthquake,0.1,0.25,0.128,181,reviewed,ci,ci
2019-08-29T16:19:18.970Z,32.2435,-115.2723333,12.3,2.64,ml,24,138,0.1765,0.31,ci,ci39022440,2019-08-29T16:47:41.842Z,"10km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.68,2.17,0.145,45,reviewed,ci,ci
2019-08-29T12:12:47.107Z,47.303,-70.434,3.69,3.3,mwr,,89,0.256,0.62,us,us700059m4,2019-09-02T02:37:11.404Z,"16km SSE of Baie-Saint-Paul, Canada",earthquake,3,9.5,0.075,17,reviewed,us,us
2019-08-29T08:39:35.780Z,35.10316667,-96.3185,3.02,3.03,ml,44,160,0,0.19,ok,ok2019qxdw,2019-08-30T11:38:54.120Z,"9km E of Holdenville, Oklahoma",earthquake,,0.9,0.21,17,reviewed,ok,ok
2019-08-29T03:23:49.220Z,35.7625,-117.5918333,2.31,2.91,ml,39,54,0.05333,0.17,ci,ci39020296,2019-08-29T17:36:07.235Z,"17km W of Searles Valley, CA",earthquake,0.19,0.4,0.19,25,automatic,ci,ci
2019-08-28T10:19:26.860Z,36.5753333,-117.9776667,7.63,2.6,ml,23,98,0.1429,0.18,ci,ci39017608,2019-08-28T18:39:05.277Z,"8km E of Lone Pine, CA",earthquake,0.27,0.73,0.219,65,reviewed,ci,ci
2019-08-28T10:14:45.330Z,36.574,-117.981,8.83,2.55,ml,24,98,0.1453,0.16,ci,ci39017600,2019-08-28T18:17:32.671Z,"8km E of Lone Pine, CA",earthquake,0.25,0.48,0.2,60,reviewed,ci,ci
2019-08-28T02:23:14.390Z,36.1358333,-117.975,4.59,3.29,ml,46,69,0.09896,0.15,ci,ci39016592,2019-08-28T14:32:44.630Z,"10km NNW of Coso Junction, CA",earthquake,0.14,0.61,0.16,85,reviewed,ci,ci
2019-08-27T17:54:05.110Z,47.976,-113.987,8.71,2.59,ml,23,191,0.114,0.15,mb,mb80358834,2019-08-30T14:24:57.500Z,"11km SSE of Bigfork, Montana",earthquake,0.66,0.55,0.201,8,reviewed,mb,mb
2019-08-27T14:39:37.320Z,35.6696667,-117.5375,9.51,2.62,ml,38,38,0.05405,0.21,ci,ci39014664,2019-08-27T18:38:50.786Z,"14km ENE of Ridgecrest, CA",earthquake,0.27,0.63,0.17,25,automatic,ci,ci
2019-08-27T10:29:38.910Z,36.7876667,-89.4681667,18.95,2.66,md,60,42,0.0216,0.1,nm,nm60285566,2019-08-30T11:12:07.535Z,"8km W of East Prairie, Missouri",earthquake,0.17,0.21,0.128,48,reviewed,nm,nm
2019-08-26T21:31:48.660Z,35.7478333,-117.5543333,1.99,2.54,ml,32,69,0.07632,0.21,ci,ci39012320,2019-08-27T05:24:42.310Z,"14km W of Searles Valley, CA",earthquake,0.26,0.46,0.119,31,automatic,ci,ci
2019-08-26T21:31:26.710Z,35.744,-117.5571667,2.04,2.63,ml,37,56,0.07874,0.17,ci,ci39012312,2019-08-26T23:36:41.981Z,"14km W of Searles Valley, CA",earthquake,0.21,0.37,0.146,25,automatic,ci,ci
2019-08-26T20:03:05.180Z,36.321,-112.4967,5,2.5,ml,,57,0.197,0.39,us,us700058if,2019-08-31T23:28:00.894Z,"43km NW of Grand Canyon Village, Arizona",earthquake,1,1.8,0.039,86,reviewed,us,us
2019-08-26T16:23:20.230Z,35.681,-117.5396667,6.79,2.6,ml,35,38,0.06353,0.15,ci,ci39011408,2019-08-26T20:01:56.259Z,"14km ENE of Ridgecrest, CA",earthquake,0.2,0.55,0.155,25,automatic,ci,ci
2019-08-26T12:50:11.400Z,40.3083333,-124.645,20,2.56,md,35,235,0.2321,0.17,nc,nc73259375,2019-08-28T06:04:03.831Z,"31km W of Petrolia, CA",earthquake,0.48,0.36,0.128,26,reviewed,nc,nc
2019-08-26T12:06:37.760Z,35.8948333,-117.6808333,2.54,2.78,ml,36,43,0.05844,0.19,ci,ci39010824,2019-08-26T12:17:45.600Z,"21km ESE of Little Lake, CA",earthquake,0.21,0.4,0.178,25,automatic,ci,ci
2019-08-26T10:33:21.280Z,35.8875,-117.6993333,6.17,2.65,ml,37,44,0.07219,0.2,ci,ci39010600,2019-08-26T10:37:12.217Z,"20km ESE of Little Lake, CA",earthquake,0.22,0.69,0.212,25,automatic,ci,ci
2019-08-26T03:53:46.440Z,36.1386667,-118.0706667,0.24,2.92,ml,33,82,0.176,0.19,ci,ci39009592,2019-08-26T04:17:55.646Z,"15km NW of Coso Junction, CA",earthquake,0.28,0.68,0.22,25,automatic,ci,ci
2019-08-25T23:00:17.931Z,31.6446,-104.2943,5,3,ml,,66,0.365,0.28,us,us70005840,2019-08-26T20:34:50.615Z,"66km W of Mentone, Texas",earthquake,0.9,1.9,0.048,58,reviewed,us,us
2019-08-25T10:36:27.080Z,35.7041667,-117.5198333,9.3,2.63,ml,38,53,0.08744,0.18,ci,ci39007504,2019-08-25T10:47:24.380Z,"13km SW of Searles Valley, CA",earthquake,0.24,0.53,0.108,25,automatic,ci,ci
2019-08-25T09:32:06.425Z,31.0992,-103.2718,5,2.9,mb_lg,,133,0.184,0.4,us,us700057yu,2019-08-25T09:48:31.040Z,"41km SSE of Pecos, Texas",earthquake,1.1,2,0.07,69,reviewed,us,us
2019-08-25T08:15:12.950Z,36.1191667,-117.8473333,1.7,3.14,ml,64,50,0.006297,0.17,ci,ci39007152,2019-08-27T21:57:16.730Z,"12km NE of Coso Junction, CA",earthquake,0.12,0.18,0.147,254,reviewed,ci,ci
2019-08-25T02:05:32.770Z,35.7151667,-117.5526667,3.39,2.9,ml,40,50,0.09388,0.17,ci,ci39006440,2019-08-25T05:46:55.397Z,"15km WSW of Searles Valley, CA",earthquake,0.2,0.79,0.129,27,automatic,ci,ci
2019-08-24T21:08:16.510Z,35.6328333,-117.5906667,10.02,2.6,ml,39,34,0.0206,0.17,ci,ci39005840,2019-08-24T22:32:30.922Z,"8km E of Ridgecrest, CA",earthquake,0.2,0.44,0.113,25,automatic,ci,ci
2019-08-24T18:39:56.330Z,40.2045,-122.129,19.03,2.62,md,21,86,0.004753,0.14,nc,nc73258150,2019-08-28T05:52:17.228Z,"10km ENE of Red Bluff, CA",earthquake,0.49,1.04,0.165,41,reviewed,nc,nc
2019-08-24T15:18:30.940Z,35.872,-117.581,8.95,3.06,ml,50,26,0.05772,0.16,ci,ci39005120,2019-08-27T20:23:50.400Z,"20km NW of Searles Valley, CA",earthquake,0.15,0.31,0.143,234,reviewed,ci,ci
2019-08-24T11:02:20.670Z,35.5971667,-117.4243333,5.42,3.47,ml,52,26,0.03265,0.14,ci,ci39004464,2019-08-28T09:41:53.751Z,"19km SSW of Trona, CA",earthquake,0.12,0.32,0.166,100,reviewed,ci,ci
2019-08-24T04:26:04.155Z,38.4286,-118.7279,3.3,2.5,ml,24,62.84,0.042,0.2564,nn,nn00700774,2019-08-29T02:55:41.040Z,"13km SW of Hawthorne, Nevada",earthquake,,1.6,0.32,13,reviewed,nn,nn
2019-08-24T00:31:25.559Z,36.83683333,-98.05183333,7.76,2.6,ml,67,111,0,0.16,ok,ok2019qnkg,2019-08-26T13:04:25.864Z,"27km ENE of Cherokee, Oklahoma",earthquake,,0.4,0.18,24,reviewed,ok,ok
2019-08-23T23:52:22.950Z,35.6438333,-117.4551667,2.33,2.51,ml,39,56,0.03329,0.14,ci,ci39002928,2019-08-24T00:02:54.370Z,"14km SSW of Searles Valley, CA",earthquake,0.19,0.3,0.161,26,automatic,ci,ci
2019-08-23T23:14:22.640Z,35.702,-117.5756667,2.42,2.6,ml,40,41,0.07997,0.17,ci,ci39002848,2019-08-23T23:25:33.760Z,"13km NE of Ridgecrest, CA",earthquake,0.21,0.4,0.181,25,automatic,ci,ci
2019-08-23T22:37:36.734Z,45.8638,-111.3713,6.09,3.4,ml,,59,0.049,0.41,us,us700057qd,2019-08-29T10:08:58.478Z,"3km WNW of Manhattan, Montana",earthquake,1.7,6.4,0.053,47,reviewed,us,us
