> Vatnajokull 
-17.325336 64.188339
-17.324118 64.184738
-17.321878 64.181038
-17.323271 64.178444
-17.330122 64.177452
-17.335531 64.176445
-17.341841 64.174187
-17.343222 64.171776
-17.350946 64.169884
-17.356863 64.167267
-17.356928 64.162781
-17.358322 64.160103
-17.356863 64.157043
-17.355560 64.154778
-17.352371 64.153130
-17.349396 64.147980
-17.346722 64.144630
-17.347340 64.141228
-17.347281 64.138802
-17.350151 64.135513
-17.348600 64.133972
-17.344893 64.130783
-17.344034 64.127998
-17.344124 64.123161
-17.346512 64.121033
-17.350689 64.119820
-17.351091 64.113197
-17.353699 64.110786
-17.355324 64.107681
-17.358086 64.102676
-17.358976 64.098122
-17.359526 64.092377
-17.359241 64.086906
-17.358572 64.080978
-17.360464 64.076775
-17.361811 64.064598
-17.363964 64.059410
-17.365955 64.053513
-17.367506 64.048157
-17.367908 64.044838
-17.371443 64.040482
-17.378176 64.037415
-17.386557 64.034111
-17.396149 64.031067
-17.404972 64.027130
-17.416372 64.021080
-17.427132 64.018944
-17.435440 64.020294
-17.438700 64.016922
-17.440601 64.012276
-17.432331 64.010307
-17.424465 64.008423
-17.416044 64.005554
-17.400780 64.000900
-17.392908 63.999180
-17.378801 63.995792
-17.373163 63.994377
-17.363161 63.990780
-17.353109 63.988052
-17.340372 63.985840
-17.328028 63.983910
-17.322603 63.982399
-17.313087 63.981041
-17.300901 63.979893
-17.290283 63.979866
-17.279818 63.980637
-17.272589 63.981888
-17.262327 63.982674
-17.252319 63.982639
-17.241898 63.982677
-17.235205 63.985111
-17.224998 63.984982
-17.218800 63.986065
-17.211327 63.987869
-17.201883 63.988544
-17.191996 63.989777
-17.177021 63.993710
-17.160170 63.995110
-17.151417 63.997604
-17.145697 64.000557
-17.140690 64.005081
-17.131592 64.006577
-17.123285 64.008446
-17.118835 64.010727
-17.111214 64.014465
-17.108137 64.017570
-17.107878 64.021347
-17.100166 64.023399
-17.089186 64.028275
-17.082592 64.031860
-17.079742 64.037468
-17.079678 64.041321
-17.084888 64.042931
-17.097116 64.043716
-17.107048 64.045204
-17.116737 64.047203
-17.129192 64.047737
-17.141861 64.051125
-17.143736 64.056717
-17.145027 64.061844
-17.148430 64.069069
-17.156088 64.074013
-17.167624 64.076218
-17.180056 64.077286
-17.195211 64.077484
-17.203970 64.081444
-17.199192 64.085510
-17.194571 64.090286
-17.189432 64.093552
-17.183075 64.096603
-17.178774 64.099602
-17.172493 64.101501
-17.165789 64.100510
-17.160507 64.099724
-17.153538 64.102692
-17.145107 64.102943
-17.139750 64.100258
-17.129669 64.100677
-17.122639 64.101479
-17.115290 64.100945
-17.110601 64.106438
-17.112808 64.110146
-17.118954 64.113274
-17.122885 64.118813
-17.126429 64.120995
-17.135925 64.120224
-17.131863 64.122597
-17.123219 64.125900
-17.115162 64.126602
-17.105816 64.125130
-17.090374 64.125725
-17.076424 64.125542
-17.067785 64.122818
-17.063526 64.119179
-17.066601 64.116356
-17.081406 64.116005
-17.084745 64.112282
-17.086744 64.107208
-17.078503 64.104752
-17.056856 64.109039
-17.046656 64.113922
-17.036736 64.117737
-17.038355 64.120895
-17.022079 64.121658
-17.024736 64.119011
-17.014664 64.116356
-16.988560 64.119576
-16.974110 64.120636
-16.959618 64.122223
-16.946625 64.120239
-16.937023 64.116867
-16.927336 64.114662
-16.916489 64.119621
-16.919579 64.114098
-16.913576 64.112045
-16.906702 64.110680
-16.904966 64.106529
-16.905624 64.103310
-16.897202 64.100769
-16.884932 64.100227
-16.879297 64.104095
-16.867085 64.105423
-16.864071 64.101982
-16.861809 64.099434
-16.854387 64.097252
-16.861107 64.095299
-16.852102 64.092377
-16.840778 64.092934
-16.831247 64.094116
-16.822647 64.096512
-16.817432 64.094986
-16.830839 64.088913
-16.845764 64.084305
-16.868002 64.080498
-16.885656 64.074936
-16.895845 64.067719
-16.905756 64.061401
-16.915743 64.054024
-16.924927 64.043655
-16.927526 64.033646
-16.932083 64.030212
-16.939915 64.024040
-16.928419 64.019112
-16.912569 64.017708
-16.901999 64.016853
-16.887081 64.016624
-16.881735 64.032875
-16.877337 64.044746
-16.857216 64.058525
-16.842474 64.063606
-16.832294 64.067940
-16.814512 64.069908
-16.803322 64.071449
-16.793997 64.070129
-16.794146 64.065735
-16.792540 64.060234
-16.781401 64.058632
-16.774195 64.056549
-16.788662 64.054970
-16.799829 64.056221
-16.811974 64.055511
-16.811687 64.051376
-16.800369 64.049507
-16.790054 64.050415
-16.776552 64.050217
-16.779713 64.046585
-16.778536 64.043411
-16.771891 64.047089
-16.764877 64.050217
-16.768953 64.045433
-16.771107 64.041603
-16.768076 64.038589
-16.757530 64.042366
-16.750977 64.044876
-16.744692 64.049095
-16.743294 64.043678
-16.744049 64.039467
-16.747484 64.035042
-16.758482 64.030708
-16.779428 64.029877
-16.795036 64.029221
-16.814337 64.028442
-16.832602 64.025230
-16.843180 64.020813
-16.856009 64.013725
-16.864910 64.009743
-16.873692 64.007271
-16.882689 64.004631
-16.883177 64.000946
-16.878338 63.994774
-16.871229 63.988922
-16.863949 63.995811
-16.853842 64.002213
-16.844898 64.006752
-16.828188 64.013763
-16.802488 64.017952
-16.783846 64.020790
-16.765448 64.023117
-16.757193 64.023964
-16.752573 64.020401
-16.759434 64.019073
-16.764317 64.016907
-16.770321 64.013489
-16.776304 64.015396
-16.788767 64.015579
-16.783001 64.011002
-16.767212 64.011482
-16.760567 64.010193
-16.750267 64.008598
-16.744278 64.006805
-16.746519 64.004410
-16.748308 64.000046
-16.762173 63.998020
-16.766781 63.994148
-16.768436 63.988880
-16.784393 63.988674
-16.798262 63.986462
-16.806665 63.981041
-16.807997 63.974590
-16.791079 63.981770
-16.779585 63.982410
-16.769907 63.983334
-16.760286 63.983547
-16.772661 63.979610
-16.786184 63.976585
-16.797388 63.974422
-16.797340 63.969940
-16.780104 63.970932
-16.763531 63.973804
-16.750509 63.975677
-16.751087 63.971107
-16.765890 63.967384
-16.748560 63.969543
-16.738632 63.968582
-16.721504 63.970718
-16.712288 63.971027
-16.707584 63.973545
-16.709173 63.969177
-16.725506 63.964325
-16.736088 63.957310
-16.745974 63.951279
-16.747133 63.947086
-16.729912 63.952995
-16.719601 63.954258
-16.720127 63.947906
-16.713755 63.946014
-16.697044 63.945740
-16.682831 63.947311
-16.680855 63.944122
-16.671097 63.941288
-16.661760 63.943104
-16.656147 63.941929
-16.658157 63.937477
-16.647442 63.938732
-16.639776 63.942463
-16.640497 63.950733
-16.636351 63.951477
-16.629023 63.946499
-16.617666 63.938595
-16.612398 63.935825
-16.607563 63.944538
-16.606720 63.954212
-16.601137 63.952694
-16.589363 63.951935
-16.579762 63.949715
-16.569574 63.944874
-16.573425 63.952122
-16.583418 63.961540
-16.584641 63.966240
-16.575722 63.967773
-16.565434 63.964020
-16.549500 63.957180
-16.537189 63.953300
-16.522217 63.947285
-16.506954 63.942265
-16.492416 63.940578
-16.467352 63.937981
-16.455168 63.939552
-16.458818 63.946438
-16.469044 63.950665
-16.502777 63.954594
-16.526510 63.960831
-16.543461 63.967667
-16.552362 63.968636
-16.557446 63.973492
-16.559118 63.979980
-16.564873 63.984196
-16.553024 63.977261
-16.542645 63.976810
-16.525093 63.976601
-16.515709 63.976444
-16.507616 63.980068
-16.498697 63.983757
-16.518539 63.985821
-16.551399 63.988628
-16.514111 63.989605
-16.496674 63.990280
-16.502161 63.995136
-16.506374 63.998272
-16.543844 63.999992
-16.540861 64.003616
-16.519558 64.001724
-16.497696 64.001534
-16.468817 64.001991
-16.451710 64.005646
-16.458155 64.011154
-16.473152 64.014915
-16.473442 64.009537
-16.494854 64.010277
-16.514877 64.010529
-16.526775 64.014694
-16.538733 64.015976
-16.538431 64.021629
-16.510979 64.024193
-16.488306 64.023712
-16.475166 64.019714
-16.455441 64.011726
-16.441141 64.004921
-16.423292 64.005508
-16.405640 64.006165
-16.394129 64.008919
-16.393482 64.015732
-16.391466 64.024040
-16.397215 64.030350
-16.405060 64.036140
-16.413155 64.039330
-16.421192 64.036606
-16.437405 64.034027
-16.457005 64.039047
-16.478306 64.043457
-16.490551 64.046196
-16.507050 64.047195
-16.512421 64.053482
-16.523142 64.055023
-16.531023 64.056236
-16.543755 64.055908
-16.529388 64.058449
-16.512712 64.061562
-16.501295 64.065422
-16.493822 64.073174
-16.483772 64.079903
-16.476530 64.082840
-16.463257 64.080002
-16.456572 64.081314
-16.445974 64.080582
-16.438229 64.075684
-16.428917 64.072212
-16.432035 64.065170
-16.429916 64.061539
-16.425392 64.057327
-16.419872 64.052834
-16.409395 64.048782
-16.398514 64.049034
-16.387838 64.049286
-16.382826 64.050278
-16.363834 64.056023
-16.354107 64.059174
-16.344152 64.062492
-16.337515 64.065422
-16.340878 64.073021
-16.331354 64.071854
-16.321768 64.065033
-16.314095 64.061752
-16.290665 64.060326
-16.269850 64.059387
-16.255663 64.061905
-16.242781 64.063622
-16.230793 64.060524
-16.218861 64.062973
-16.205618 64.062180
-16.196852 64.063721
-16.194632 64.071388
-16.187210 64.079773
-16.176416 64.088989
-16.172041 64.099586
-16.166868 64.107933
-16.164003 64.115768
-16.177578 64.125549
-16.201294 64.128723
-16.207888 64.130562
-16.211506 64.135376
-16.217831 64.139900
-16.226803 64.134506
-16.241623 64.138382
-16.249001 64.144707
-16.261909 64.147202
-16.274946 64.152573
-16.276918 64.159615
-16.268295 64.161514
-16.253296 64.163383
-16.253185 64.168579
-16.260326 64.173302
-16.272713 64.174973
-16.281628 64.176399
-16.281460 64.184296
-16.279119 64.191261
-16.272701 64.199844
-16.268274 64.207039
-16.258818 64.215019
-16.256893 64.217766
-16.250399 64.208580
-16.231297 64.203896
-16.218910 64.200073
-16.231581 64.192963
-16.225939 64.189705
-16.211309 64.189781
-16.201889 64.183212
-16.202738 64.176956
-16.204227 64.170425
-16.194777 64.168266
-16.180695 64.171127
-16.182201 64.166489
-16.195883 64.159492
-16.183750 64.157463
-16.164186 64.165604
-16.149084 64.166374
-16.140188 64.168808
-16.131172 64.168442
-16.134771 64.173363
-16.138990 64.178299
-16.137924 64.182594
-16.142639 64.186729
-16.144215 64.195282
-16.135801 64.187126
-16.123903 64.184723
-16.125298 64.191055
-16.116144 64.189964
-16.106091 64.191544
-16.104631 64.197548
-16.106987 64.202545
-16.108536 64.205429
-16.108501 64.209656
-16.112934 64.214500
-16.115492 64.217613
-16.122143 64.215134
-16.122263 64.217934
-16.133718 64.216789
-16.141621 64.214172
-16.137186 64.221077
-16.144939 64.219902
-16.156862 64.220222
-16.166826 64.225540
-16.167709 64.230942
-16.175106 64.237190
-16.179276 64.242760
-16.178253 64.250633
-16.166901 64.254623
-16.160000 64.261414
-16.151299 64.257729
-16.140972 64.249886
-16.129929 64.246986
-16.126488 64.252213
-16.132309 64.255737
-16.124241 64.261780
-16.116388 64.263779
-16.100681 64.263908
-16.091274 64.264969
-16.086601 64.260391
-16.079317 64.258980
-16.072186 64.263863
-16.063030 64.268341
-16.050152 64.267097
-16.040415 64.263573
-16.041029 64.259819
-16.033003 64.257675
-16.025862 64.260681
-16.020033 64.257324
-16.017071 64.252327
-16.008144 64.250870
-15.999654 64.247383
-15.986984 64.248100
-15.967683 64.249046
-15.958064 64.248299
-15.969493 64.245766
-15.954596 64.242393
-15.943071 64.240265
-15.940013 64.243622
-15.935344 64.241089
-15.927272 64.235802
-15.918931 64.238411
-15.909651 64.240173
-15.908023 64.245445
-15.895298 64.244820
-15.883223 64.245712
-15.875000 64.252632
-15.865692 64.256386
-15.851017 64.254715
-15.833881 64.254707
-15.823352 64.251160
-15.820464 64.247581
-15.813373 64.246437
-15.812828 64.240501
-15.800452 64.242195
-15.792474 64.250374
-15.781296 64.255875
-15.768932 64.257393
-15.757040 64.256668
-15.743560 64.258888
-15.734732 64.263641
-15.718697 64.264702
-15.702476 64.262177
-15.690148 64.263329
-15.678110 64.268890
-15.675079 64.275116
-15.683700 64.280685
-15.702566 64.281944
-15.721138 64.280472
-15.751291 64.277206
-15.764755 64.273468
-15.776154 64.273178
-15.793037 64.275452
-15.814858 64.285004
-15.826334 64.291176
-15.845131 64.294907
-15.856256 64.298836
-15.846619 64.305267
-15.839405 64.308617
-15.825302 64.307144
-15.819510 64.303604
-15.808900 64.300583
-15.801176 64.299431
-15.796953 64.296638
-15.788635 64.298782
-15.767439 64.292656
-15.749537 64.290192
-15.731204 64.287888
-15.715197 64.285172
-15.701091 64.285576
-15.688471 64.285667
-15.677544 64.287117
-15.675058 64.287140
-15.675058 64.287140
-15.671715 64.289139
-15.675963 64.294983
-15.679316 64.298019
-15.682364 64.300156
-15.703091 64.301537
-15.720726 64.306236
-15.735401 64.309807
-15.756987 64.312721
-15.773698 64.314896
-15.789173 64.317032
-15.793346 64.323769
-15.794943 64.329552
-15.807998 64.332985
-15.807730 64.328217
-15.819246 64.325325
-15.839067 64.329361
-15.846787 64.334190
-15.858870 64.340736
-15.875431 64.346214
-15.891959 64.352058
-15.900612 64.354301
-15.907248 64.361534
-15.901650 64.365189
-15.892979 64.368492
-15.878605 64.369095
-15.871851 64.362930
-15.858969 64.361397
-15.850468 64.368576
-15.836643 64.368011
-15.822090 64.370110
-15.807777 64.364845
-15.796797 64.373604
-15.805392 64.378090
-15.795968 64.382378
-15.790471 64.379738
-15.782238 64.375694
-15.772925 64.373779
-15.749336 64.368134
-15.735350 64.367195
-15.725025 64.370277
-15.705867 64.365814
-15.690382 64.361855
-15.682583 64.357826
-15.684011 64.351212
-15.678239 64.345871
-15.664998 64.342331
-15.656384 64.336555
-15.640647 64.334846
-15.630746 64.329498
-15.622139 64.325439
-15.610227 64.323006
-15.606360 64.315811
-15.598686 64.314301
-15.589090 64.318199
-15.580929 64.323837
-15.576894 64.329590
-15.568389 64.326408
-15.553307 64.326141
-15.539366 64.331558
-15.538121 64.338089
-15.551691 64.343811
-15.568484 64.345367
-15.588655 64.348099
-15.604543 64.355286
-15.614727 64.361732
-15.626446 64.365868
-15.641758 64.371162
-15.653200 64.375923
-15.658833 64.380722
-15.669924 64.385017
-15.681628 64.389412
-15.694556 64.394020
-15.697182 64.399742
-15.697138 64.403519
-15.707207 64.402672
-15.716832 64.407196
-15.719255 64.411201
-15.710350 64.414406
-15.716795 64.416084
-15.705075 64.420227
-15.701117 64.416885
-15.702271 64.409103
-15.687600 64.410225
-15.676744 64.408981
-15.665171 64.406815
-15.655486 64.411278
-15.669163 64.414917
-15.675418 64.418106
-15.676147 64.420631
-15.680441 64.422890
-15.687256 64.426643
-15.691825 64.430061
-15.691268 64.432930
-15.686653 64.433273
-15.682880 64.430130
-15.674461 64.427605
-15.670591 64.425270
-15.661562 64.424355
-15.647898 64.423943
-15.650190 64.428932
-15.651495 64.431831
-15.658508 64.432259
-15.663174 64.434883
-15.665079 64.437988
-15.674154 64.441963
-15.673891 64.444115
-15.659391 64.440292
-15.649728 64.437721
-15.640491 64.435081
-15.632260 64.432739
-15.622243 64.429726
-15.615532 64.426865
-15.604874 64.427338
-15.593960 64.426552
-15.584898 64.425880
-15.581283 64.429848
-15.595193 64.434929
-15.605724 64.437149
-15.619167 64.441055
-15.626963 64.443565
-15.631868 64.445930
-15.640644 64.445595
-15.650094 64.446541
-15.648966 64.448929
-15.637722 64.449028
-15.629786 64.449295
-15.626374 64.451645
-15.622839 64.454964
-15.625971 64.459900
-15.615172 64.466385
-15.617445 64.469849
-15.606703 64.474174
-15.606243 64.474518
-15.607500 64.477783
-15.600571 64.474945
-15.589146 64.471436
-15.579511 64.468605
-15.576425 64.465027
-15.572592 64.462418
-15.563255 64.462189
-15.558493 64.460381
-15.556547 64.454422
-15.557981 64.451302
-15.551790 64.447647
-15.544287 64.444511
-15.537767 64.443451
-15.531465 64.440704
-15.529297 64.436516
-15.525933 64.433563
-15.526128 64.430420
-15.520819 64.426437
-15.516330 64.424156
-15.513534 64.421677
-15.492579 64.418198
-15.475857 64.418976
-15.465197 64.421043
-15.462522 64.424042
-15.456350 64.425148
-15.452758 64.425583
-15.444475 64.423775
-15.436630 64.421768
-15.426741 64.419571
-15.418568 64.420082
-15.417100 64.421753
-15.421771 64.425728
-15.428640 64.430389
-15.435120 64.434853
-15.439968 64.439117
-15.445384 64.442215
-15.450688 64.444588
-15.452477 64.448402
-15.458080 64.451675
-15.468376 64.454086
-15.471249 64.459183
-15.480330 64.459778
-15.493986 64.460365
-15.503851 64.461334
-15.514132 64.462296
-15.519400 64.465027
-15.523991 64.469795
-15.526516 64.472824
-15.527660 64.476898
-15.526497 64.481087
-15.526419 64.486572
-15.520340 64.491707
-15.515910 64.495392
-15.508132 64.497528
-15.505614 64.502502
-15.500106 64.508034
-15.494377 64.510429
-15.488188 64.511520
-15.483803 64.508354
-15.484176 64.505493
-15.479387 64.503853
-15.472654 64.505936
-15.465879 64.505150
-15.467084 64.502296
-15.471198 64.499512
-15.464132 64.500977
-15.456834 64.502586
-15.451369 64.504509
-15.444442 64.504890
-15.442659 64.502594
-15.444643 64.498604
-15.447441 64.496338
-15.448617 64.492149
-15.445925 64.488846
-15.436486 64.489334
-15.429327 64.491493
-15.421924 64.497070
-15.418815 64.501648
-15.419070 64.504448
-15.424925 64.507469
-15.427467 64.510307
-15.436217 64.515121
-15.441763 64.514160
-15.439057 64.510956
-15.444818 64.511543
-15.450790 64.515282
-15.440366 64.518456
-15.435454 64.519302
-15.430786 64.519905
-15.424864 64.518967
-15.417558 64.514297
-15.408378 64.511192
-15.400719 64.509201
-15.390207 64.505173
-15.382895 64.503731
-15.373822 64.501442
-15.369709 64.497925
-15.369070 64.496468
-15.360221 64.494087
-15.341040 64.492622
-15.333672 64.490097
-15.326367 64.490196
-15.312908 64.491096
-15.302341 64.492188
-15.294316 64.492966
-15.287475 64.494232
-15.286324 64.498070
-15.291882 64.500084
-15.305517 64.497932
-15.316233 64.500359
-15.328918 64.503639
-15.336851 64.505089
-15.348063 64.508530
-15.356579 64.513412
-15.364377 64.518990
-15.371208 64.522491
-15.377956 64.526611
-15.379732 64.532036
-15.375725 64.533920
-15.366844 64.534775
-15.360312 64.535240
-15.363331 64.539177
-15.371199 64.539642
-15.376947 64.538803
-15.382936 64.540840
-15.377396 64.541679
-15.372410 64.544617
-15.367365 64.543327
-15.363405 64.540176
-15.356990 64.538223
-15.348328 64.538986
-15.347445 64.537788
-15.355006 64.537453
-15.354866 64.533852
-15.353390 64.529320
-15.362362 64.532410
-15.367242 64.531822
-15.365327 64.528992
-15.363657 64.525894
-15.359852 64.524719
-15.354690 64.524315
-15.349224 64.524628
-15.345249 64.524712
-15.337188 64.522629
-15.329252 64.524223
-15.333230 64.527199
-15.338675 64.528595
-15.331118 64.530457
-15.325258 64.530594
-15.323291 64.534309
-15.324260 64.539459
-15.327494 64.543320
-15.324129 64.545036
-15.315916 64.544014
-15.307839 64.542015
-15.304658 64.539322
-15.301734 64.536293
-15.298553 64.533592
-15.294958 64.530899
-15.289308 64.529510
-15.286331 64.534454
-15.287466 64.538345
-15.287293 64.541130
-15.292161 64.545212
-15.295807 64.549072
-15.302894 64.550682
-15.310545 64.552765
-15.313422 64.556168
-15.316545 64.559296
-15.321396 64.562019
-15.314232 64.562477
-15.310987 64.564819
-15.314589 64.565994
-15.297355 64.566719
-15.280549 64.567383
-15.263363 64.567749
-15.272166 64.570572
-15.285162 64.573341
-15.297070 64.574890
-15.302803 64.577293
-15.308771 64.581032
-15.311884 64.584259
-15.316089 64.587143
-15.308023 64.589539
-15.299822 64.589874
-15.288507 64.588501
-15.278294 64.591301
-15.271119 64.593277
-15.270291 64.597748
-15.261052 64.601021
-15.250815 64.599403
-15.240458 64.597160
-15.235339 64.594872
-15.233926 64.591515
-15.225661 64.587807
-15.213335 64.586227
-15.203152 64.585793
-15.201732 64.588432
-15.211174 64.594154
-15.219584 64.598335
-15.229506 64.602180
-15.237704 64.604912
-15.247780 64.607681
-15.252567 64.612389
-15.256008 64.616257
-15.262332 64.620461
-15.275106 64.621948
-15.283684 64.623520
-15.292509 64.623299
-15.300991 64.624046
-15.310688 64.626633
-15.317820 64.626534
-15.324595 64.625984
-15.334270 64.627220
-15.339969 64.629967
-15.350196 64.630226
-15.340696 64.632317
-15.332921 64.629440
-15.319836 64.631714
-15.312100 64.631607
-15.306391 64.633522
-15.304880 64.636902
-15.305138 64.638084
-15.298788 64.641609
-15.304585 64.643631
-15.315493 64.646614
-15.319855 64.648422
-15.326197 64.652626
-15.336647 64.657471
-15.346191 64.662834
-15.355797 64.666214
-15.362982 64.668907
-15.369646 64.669250
-15.374128 64.667114
-15.385589 64.667664
-15.397245 64.668312
-15.407649 64.668930
-15.413341 64.668709
-15.419193 64.665718
-15.426401 64.666687
-15.430359 64.663727
-15.437521 64.660316
-15.445474 64.660423
-15.453446 64.661964
-15.450561 64.664772
-15.443348 64.665390
-15.442598 64.667892
-15.448013 64.671341
-15.465318 64.672127
-15.470852 64.676315
-15.479877 64.677879
-15.489183 64.675667
-15.496283 64.674316
-15.501905 64.673019
-15.509270 64.674431
-15.515589 64.675858
-15.521618 64.674644
-15.526844 64.673149
-15.531710 64.671188
-15.533764 64.668282
-15.537071 64.665390
-15.540888 64.661812
-15.542694 64.657532
-15.535100 64.654671
-15.529351 64.650482
-15.526529 64.646385
-15.522583 64.644478
-15.510586 64.644920
-15.504391 64.639389
-15.508545 64.636414
-15.522083 64.638626
-15.530949 64.642975
-15.536777 64.648148
-15.548053 64.653351
-15.550277 64.658875
-15.551643 64.664566
-15.547981 64.670242
-15.537960 64.673141
-15.529599 64.676178
-15.524292 64.679924
-15.513893 64.684074
-15.499504 64.689835
-15.496455 64.695503
-15.497614 64.701103
-15.499496 64.704384
-15.505322 64.704803
-15.505996 64.709305
-15.504843 64.713326
-15.513556 64.715767
-15.520700 64.717384
-15.526447 64.718414
-15.529297 64.715881
-15.535198 64.718987
-15.544125 64.721436
-15.560173 64.722435
-15.568819 64.722198
-15.579636 64.719742
-15.584653 64.716637
-15.585144 64.712776
-15.593189 64.707314
-15.599545 64.701897
-15.605372 64.698967
-15.619295 64.688423
-15.626989 64.685638
-15.638850 64.684738
-15.650504 64.682129
-15.659768 64.678482
-15.662846 64.673965
-15.675694 64.670143
-15.689823 64.669464
-15.708927 64.667572
-15.725863 64.669655
-15.736032 64.670502
-15.749737 64.671623
-15.763542 64.673630
-15.769450 64.676811
-15.775053 64.680801
-15.779317 64.685463
-15.784247 64.688095
-15.788513 64.689262
-15.799519 64.690239
-15.805533 64.690811
-15.810641 64.695496
-15.806050 64.698807
-15.800390 64.702286
-15.805467 64.707245
-15.809877 64.710747
-15.812292 64.713402
-15.818143 64.715424
-15.821094 64.717094
-15.824295 64.720222
-15.825567 64.723648
-15.826822 64.725479
-15.825193 64.728592
-15.826677 64.732040
-15.825680 64.733368
-15.825831 64.737411
-15.824358 64.740967
-15.831842 64.741676
-15.836788 64.744286
-15.838850 64.748207
-15.838760 64.754303
-15.837478 64.758041
-15.843695 64.762398
-15.849075 64.766739
-15.851591 64.770378
-15.859294 64.772881
-15.865886 64.774101
-15.876593 64.776131
-15.886786 64.777138
-15.898127 64.779182
-15.910821 64.780441
-15.923834 64.782600
-15.935291 64.783646
-15.947391 64.784615
-15.957716 64.782661
-15.967136 64.783127
-15.972093 64.785843
-15.981332 64.787926
-15.988053 64.788055
-15.993406 64.787270
-16.000338 64.785530
-16.004539 64.783722
-16.012661 64.782639
-16.022421 64.781937
